,OBJID,RA_PSEUDOHOST,DEC_PSEUDOHOST,Z,ZERR,ZWARN,DELTACHI2,SPECTYPE
1943,T202104061450552m012416,222.7283391732989,-1.4018884999043095,,,,,
1944,A202104061432220p004822,218.08880251080924,0.8109530503656728,,,,,
1945,A202103221424341p000739,216.14224677762545,0.1274842953454374,0.877250954998925,8.83468546438386e-05,0,1190.66041740775,QSO
1946,A202105151421451m000809,215.42475827961545,-0.1377272790884751,,,,,
1947,A202104151422263m034645,215.6064526150416,-3.7800933825955902,,,,,
1948,A202103221413106m033655,213.28948645788708,-3.618505633951688,,,,,
1949,A202106021410416p001347,212.6736765069368,0.2297391809520496,,,,,
1950,A202103221433241m030924,218.35047035536977,-3.1569577207143533,0.22316239246654,2.77814688242782e-05,0,3603.3692940101,QSO
1951,A202103221446463m025828,221.69311984292256,-2.974533096274189,0.885848196085326,0.000142044731245747,0,309.964019648731,QSO
1952,A202103221443372p005431,220.9050137581747,0.9087290328128236,1.03218837399297,0.000191085741826147,0,368.979205591577,QSO
1953,T202105121443159m024132,220.815737868718,-2.6930618758136062,0.153039575757628,1.66873078616389e-05,0,1019.89284398407,GALAXY
1954,A202104061442544m021013,220.72684146683736,-2.170379604929523,0.999235483075361,0.000103942321156938,0,211.305500403047,QSO
1955,A202103221426202m015037,216.5844992926612,-1.8382889981947823,,,,,
1956,A202105091359314p065437,209.8852298881257,6.9028365903395645,,,,,
1957,T202105271211176m011116,182.83269508861576,-1.1920433379843716,,,,,
1958,A202103221413566p014755,213.4835706598792,1.7889444035713726,,,,,
1959,A202104151437041m022657,219.2697647244393,-2.4386597402058032,,,,,
1960,A202103221436465m021102,219.1937396544824,-2.184063985267936,0.943008148535909,8.02290263189794e-05,0,635.178056806326,QSO
1961,A202104061452548p002053,223.22362783593965,0.3626719261201737,,,,,
1962,T202105271214523p012133,183.71786946706249,1.3590130772098783,,,,,
1963,A202103221409524m022116,212.468443967026,-2.354585759868596,0.700745446114225,5.28268008334854e-05,0,1865.42477759719,QSO
1964,T202104061441365m022901,220.39818881473832,-2.48980010997187,,,,,
1965,T202106021416313m033312,214.13438527688405,-3.5567488612027605,,,,,
1966,A202103221454418m010111,223.67410938076603,-1.019824627032169,1.03040364324825,0.000235054107228941,0,764.266680382192,QSO
1967,T202105241221477m002825,185.4501450191037,-0.4725657962316699,,,,,
1968,T202106051435333m000534,218.89392330327527,-0.1050329987193204,,,,,
1969,T202105271207516m015027,181.9698990181213,-1.848939648436692,,,,,
1970,A202104271203367m005758,180.90307196052945,-0.966417061523844,,,,,
1971,A202105301210460m000808,182.6918231345548,-0.1356730335706961,,,,,
1972,A202104151450184p015447,222.5935856520017,1.921441133666912,,,,,
1973,A202105271222161m002123,185.56735721978347,-0.3564685490647555,0.954650167965643,7.50413867884003e-05,0,42.1103019714355,GALAXY
1974,A202104151450002p010057,222.49746897235175,1.0067364413710038,,,,,
1975,A202103221452283p020348,223.1182853925648,2.063336393052757,,,,,
1976,A202104151437519p005515,219.466387413178,0.9209060775592034,0.191846180645964,1.84370509356247e-05,0,1496.08354152739,GALAXY
1977,A202104151436237m031827,219.08493994198247,-3.311761431396523,,,,,
1978,A202105271206377p000631,181.66043309883048,0.1169995662343247,,,,,
1979,T202105271206523p002307,181.7175911538425,0.3857045684888477,,,,,
1980,A202103221411041m031721,212.75367120408592,-3.2863265132697044,0.147350404044116,5.21234357350081e-05,0,574.740034420742,GALAXY
1981,T202103221430487m021941,217.71067989494264,-2.326843963436127,,,,,
1982,T202105241206438p002812,181.68416739472656,0.4713455166751187,0.843663391142747,0.000111136564908427,4,8.59221611171961,GALAXY
1983,T202105301216267p011800,184.10899721152725,1.2995322216423395,,,,,
1984,A202105241202233p013753,180.60490330772512,1.6321326592212897,,,,,
1985,A202104151454110p010352,223.54623446909463,1.0645741958638153,,,,,
1986,A202104091441292m022112,220.35439422819732,-2.346956282551969,,,,,
1987,A202104121404295m013830,211.11552636858704,-1.6241849723577666,,,,,
1988,A202105271217290p015907,184.3708477573624,1.985539536296257,0.809317114349105,0.000135259691283169,0,527.382175981998,QSO
1989,A202103221442452m011300,220.703273885487,-1.2126194579925598,,,,,
1990,A202104121436013m022716,218.99732552084333,-2.4598915991248727,,,,,
1991,A202105271209419m011502,182.4385895768434,-1.250164577107066,,,,,
1992,T202104251450066m035512,222.52423613597463,-3.922245882081981,,,,,
1993,A202103221432471m030833,218.19823941351592,-3.137897652157932,0.229988015214895,5.97402696930666e-05,0,461.120074665174,GALAXY
1994,A202104061420065m012013,215.031521152897,-1.3460544907061018,,,,,
1995,T202105301455348p012600,223.89502368764656,1.433341398197172,,,,,
1996,A202103221412029m033341,213.012496213605,-3.560526752993697,0.199048574396539,5.74424234368238e-05,0,1205.25131748244,GALAXY
